_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,no_recent_shelter_use,actively_homeless,ageunder16,age16-24,age25-44,age45-64,age65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage
1195,Aug-20,Chronic,21,39,504,308,120,3835,440,446,1261,1367,321,2436,1352,47,50.6
1196,Aug-20,Refugees,28,21,79,224,50,1487,449,191,580,243,24,757,718,12,19.6
1197,Aug-20,Families,23,45,213,264,72,1881,872,186,566,226,31,831,1045,5,24.8
1198,Aug-20,Youth,18,32,81,43,75,697,0,697,0,0,0,409,261,27,9.2
1199,Aug-20,Single Adult,48,357,334,170,448,5002,0,0,2445,2110,432,3467,1460,75,66.0
1200,Aug-20,Non-refugees,61,413,549,253,545,6093,430,700,2431,2093,439,3950,2048,95,80.4
1201,Sep-20,All Population,82,385,595,522,584,7572,806,895,2988,2390,493,4709,2757,106,100.0
1202,Sep-20,Chronic,11,38,374,356,102,3776,377,411,1255,1399,334,2431,1299,46,49.9
1203,Sep-20,Refugees,19,24,64,284,50,1412,381,191,568,246,26,755,642,15,18.6
1204,Sep-20,Families,16,22,217,332,71,1615,803,175,476,150,11,662,952,1,21.3
1205,Sep-20,Youth,14,43,87,47,68,713,0,713,0,0,0,427,267,19,9.4
1206,Sep-20,Single Adult,52,320,291,143,445,5244,0,0,2512,2240,482,3620,1538,86,69.3
1207,Sep-20,Non-refugees,63,361,531,238,534,6160,425,704,2420,2144,467,3954,2115,91,81.4
1208,Oct-20,All Population,88,431,636,444,721,7506,764,891,2904,2429,518,4721,2679,106,100.0
1209,Oct-20,Chronic,24,44,296,289,126,3695,301,382,1242,1416,354,2418,1232,45,49.2
1210,Oct-20,Refugees,22,18,49,206,71,1215,305,170,497,220,23,652,550,13,16.2
1211,Oct-20,Families,25,19,210,264,90,1463,735,169,412,136,11,587,875,1,19.5
1212,Oct-20,Youth,14,33,95,38,71,720,0,720,0,0,0,433,265,23,9.6
1213,Oct-20,Single Adult,49,379,331,142,560,5323,0,0,2492,2293,507,3701,1539,82,70.9
1214,Oct-20,Non-refugees,66,413,587,238,650,6291,459,721,2407,2209,495,4069,2129,93,83.8
1215,Nov-20,All Population,53,486,598,405,606,7586,710,889,3001,2482,504,4814,2663,109,100.0
1216,Nov-20,Chronic,12,32,209,250,127,3552,238,365,1172,1429,348,2358,1146,48,46.8
1217,Nov-20,Refugees,6,30,50,147,56,1096,258,163,455,202,18,600,483,13,14.4
1218,Nov-20,Families,9,11,186,240,64,1359,679,174,369,131,6,553,806,0,17.9
1219,Nov-20,Youth,11,40,69,40,71,714,0,714,0,0,0,431,260,23,9.4
1220,Nov-20,Single Adult,33,435,343,125,471,5513,0,0,2632,2351,498,3830,1597,86,72.7
1221,Nov-20,Non-refugees,47,456,548,258,550,6490,452,726,2546,2280,486,4214,2180,96,85.6
1222,Dec-20,All Population,91,484,621,375,606,7741,661,887,3090,2566,537,4977,2649,115,100.0
1223,Dec-20,Chronic,20,35,212,202,71,3533,205,357,1180,1436,355,2353,1128,52,45.6
1224,Dec-20,Refugees,28,21,61,131,51,1024,226,160,423,195,20,570,442,12,13.2
1225,Dec-20,Families,23,27,161,215,64,1288,633,158,355,133,9,537,751,0,16.6
1226,Dec-20,Youth,16,39,80,29,71,729,0,729,0,0,0,440,264,25,9.4
1227,Dec-20,Single Adult,52,418,380,131,471,5724,0,0,2735,2433,528,4000,1634,90,73.9
1228,Dec-20,Non-refugees,63,463,560,244,555,6717,435,727,2667,2371,517,4407,2207,103,86.8
1229,Jan-21,All Population,84,425,647,346,660,7829,619,892,3165,2607,546,5037,2662,130,100.0
1230,Jan-21,Chronic,16,23,303,209,92,3550,203,342,1194,1452,359,2349,1143,58,45.3
1231,Jan-21,Refugees,13,23,66,107,39,995,219,153,406,201,16,564,418,13,12.7
1232,Jan-21,Families,16,15,158,154,67,1239,601,147,351,130,10,510,729,0,15.8
1233,Jan-21,Youth,12,45,89,35,77,752,0,752,0,0,0,443,268,31,9.6
1234,Jan-21,Single Adult,56,365,400,157,516,5838,0,0,2814,2477,536,4084,1665,99,74.6
1235,Jan-21,Non-refugees,71,402,581,239,621,6834,400,739,2759,2406,530,4473,2244,117,87.3
1236,Jan-21,Indigenous,11,99,41,12,90,895,6,96,494,274,25,540,320,35,11.4
1237,Feb-21,All Population,88,389,590,297,670,7871,609,884,3226,2599,553,5079,2650,142,100.0
1238,Feb-21,Chronic,21,26,286,169,86,3601,220,332,1214,1467,368,2382,1158,61,45.8
1239,Feb-21,Refugees,13,22,68,67,39,996,223,148,408,200,17,562,421,13,12.7
1240,Feb-21,Families,17,4,149,125,62,1221,590,139,348,134,10,513,708,0,15.5
1241,Feb-21,Youth,15,39,87,45,66,743,0,743,0,0,0,439,268,36,9.4
1242,Feb-21,Single Adult,56,346,354,127,542,5907,0,0,2878,2465,543,4127,1674,106,75.0
1243,Feb-21,Non-refugees,75,367,522,230,631,6875,386,736,2818,2399,536,4517,2229,129,87.3
1244,Feb-21,Indigenous,8,95,49,35,73,927,5,100,526,266,30,554,335,38,11.8
1245,Mar-21,All Population,71,389,539,341,725,7745,584,863,3186,2573,539,4996,2593,156,100.0
1246,Mar-21,Chronic,18,20,295,186,113,3615,222,320,1234,1478,361,2389,1165,61,46.7
1247,Mar-21,Refugees,12,13,47,80,34,961,227,141,384,194,15,545,406,10,12.4
1248,Mar-21,Families,12,14,113,124,72,1165,570,127,340,121,7,485,679,1,15.0
1249,Mar-21,Youth,20,36,92,52,83,735,0,735,0,0,0,433,258,44,9.5
1250,Mar-21,Single Adult,39,339,334,165,570,5845,0,0,2846,2452,532,4078,1656,111,75.5
1251,Mar-21,Non-refugees,59,376,492,261,691,6784,357,722,2802,2379,524,4451,2187,146,87.6
1252,Mar-21,Indigenous,7,74,39,25,101,912,3,99,513,267,30,537,333,42,11.8
1253,Apr-21,All Population,69,309,480,268,778,7516,573,906,3010,2499,528,4784,2570,162,100.0
1254,Apr-21,Chronic,16,18,283,165,122,3627,217,312,1244,1498,356,2388,1177,62,48.3
1255,Apr-21,Refugees,16,14,41,45,52,939,223,145,374,182,15,534,395,10,12.5
1256,Apr-21,Families,16,13,132,91,76,1157,559,134,332,125,7,485,671,1,15.4
1257,Apr-21,Youth,15,37,95,29,69,771,0,771,0,0,0,446,276,49,10.3
1258,Apr-21,Single Adult,38,259,253,148,633,5588,0,0,2678,2374,521,3853,1623,112,74.3
1259,Apr-21,Non-refugees,53,295,439,223,726,6577,350,761,2636,2317,513,4250,2175,152,87.5
1260,Apr-21,Indigenous,7,57,37,18,131,861,4,94,483,251,29,501,318,42,11.5
1261,May-21,All Population,78,485,626,278,784,7575,569,901,3083,2492,530,4816,2607,152,100.0
1262,May-21,Chronic,16,36,346,159,95,3739,230,308,1318,1520,363,2451,1224,64,49.4
1263,May-21,Refugees,10,22,43,46,30,939,220,144,376,182,17,534,396,9,12.4
1264,May-21,Families,11,22,152,95,69,1173,562,132,343,126,10,686,486,1,15.5
1265,May-21,Youth,23,37,87,33,97,769,0,769,0,0,0,452,271,46,10.2
1266,May-21,Single Adult,44,426,387,150,618,5633,0,0,2740,2366,520,3678,1850,105,74.4
1267,May-21,Non-refugees,68,463,583,232,754,6636,349,757,2707,2310,513,4282,2211,143,87.6
1268,May-21,Indigenous,7,102,66,14,120,888,7,94,502,257,28,501,349,38,11.7
1269,Jun-21,All Population,98,465,719,253,514,8037,618,979,3295,2594,551,5101,2775,161,100.0
1270,Jun-21,Chronic,13,37,320,152,92,3840,226,326,1354,1563,371,2521,1252,67,47.8
1271,Jun-21,Refugees,16,20,105,62,27,998,244,152,390,196,16,549,439,10,12.4
1272,Jun-21,Families,28,13,227,97,50,1276,611,152,360,144,9,527,747,2,15.9
1273,Jun-21,Youth,16,44,102,24,66,826,0,826,0,0,0,484,294,48,10.3
1274,Jun-21,Single Adult,54,408,390,132,398,5935,0,0,2935,2450,542,4090,1734,111,73.8
1275,Jun-21,Non-refugees,82,445,614,191,487,7039,374,827,2905,2398,535,4552,2336,151,87.6
1276,Jun-21,Indigenous,13,105,45,24,74,936,3,104,524,279,26,541,355,40,11.6
1277,Jul-21,All Population,87,453,740,284,637,8322,673,972,3430,2682,565,5274,2889,159,100.0
1278,Jul-21,Chronic,20,39,302,162,108,3904,247,317,1381,1578,381,2565,1270,69,46.9
1279,Jul-21,Refugees,14,22,70,65,28,1014,258,150,390,198,18,557,446,11,12.2
1280,Jul-21,Families,19,13,206,96,50,1356,671,143,385,145,12,553,803,0,16.3
1281,Jul-21,Youth,8,54,97,45,89,829,0,829,0,0,0,492,288,49,10.0
1282,Jul-21,Single Adult,60,386,437,143,498,6137,2,0,3045,2537,553,4229,1798,110,73.7
1283,Jul-21,Non-refugees,73,431,670,219,609,7308,415,822,3040,2484,547,4717,2443,148,87.8
1284,Jul-21,Indigenous,13,90,58,25,95,972,5,108,536,300,23,561,370,41,11.7
1285,Aug-21,All Population,104,452,685,306,728,8479,701,972,3524,2701,581,5368,2958,153,100.0
1286,Aug-21,Chronic,17,21,308,175,146,3915,237,340,1386,1565,387,2571,1274,70,46.2
1287,Aug-21,Refugees,24,25,54,89,39,995,254,143,386,191,21,541,444,10,11.7
1288,Aug-21,Families,26,39,170,138,72,1378,686,147,397,134,14,564,812,2,16.3
1289,Aug-21,Youth,12,36,95,28,107,823,0,823,0,0,0,481,294,48,9.7
1290,Aug-21,Single Adult,66,377,420,140,549,6278,0,0,3127,2567,567,4323,1852,103,74.0
1291,Aug-21,Non-refugees,80,427,631,217,689,7484,447,829,3138,2510,560,4827,2514,143,88.3
1292,Aug-21,Indigenous,15,82,41,17,115,1002,5,114,554,302,27,586,373,43,11.8
1293,Sep-21,All Population,101,433,832,255,753,8760,787,1011,3588,2781,593,5524,3083,153,100.0
1294,Sep-21,Chronic,26,36,259,129,119,3958,230,347,1418,1572,391,2600,1286,72,45.2
1295,Sep-21,Refugees,16,30,185,53,45,1149,312,161,454,199,23,613,525,11,13.1
1296,Sep-21,Families,28,29,299,91,90,1548,772,168,445,149,14,631,915,2,17.7
1297,Sep-21,Youth,13,55,98,42,88,842,0,842,0,0,0,495,297,50,9.6
1298,Sep-21,Single Adult,60,349,435,122,575,6370,0,0,3143,2632,579,4398,1871,101,72.7
1299,Sep-21,Non-refugees,85,403,647,202,708,7611,475,850,3134,2582,570,4911,2558,142,86.9
1300,Sep-21,Indigenous,13,85,53,18,118,1026,8,122,554,310,32,599,379,48,11.7
1301,Oct-21,All Population,80,450,850,270,823,8992,847,1052,3665,2833,595,5665,3175,152,100.0
1302,Oct-21,Chronic,15,49,289,137,135,4010,237,362,1424,1587,400,2630,1307,73,44.6
1303,Oct-21,Refugees,15,26,210,65,38,1301,364,182,519,211,25,691,599,11,14.5
1304,Oct-21,Families,18,31,271,104,60,1700,839,190,486,169,16,703,996,1,18.9
1305,Oct-21,Youth,13,48,109,38,97,861,0,861,0,0,0,508,301,52,9.6
1306,Oct-21,Single Adult,49,371,470,128,666,6431,0,0,3179,2664,579,4454,1878,99,71.5
1307,Oct-21,Non-refugees,65,424,640,205,785,7691,483,870,3146,2622,570,4974,2576,141,85.5
1308,Oct-21,Indigenous,10,93,59,26,127,1053,6,134,573,308,32,628,381,44,11.7
1309,Nov-21,All Population,77,455,783,250,813,9199,849,1060,3753,2921,616,5815,3235,149,100.0
1310,Nov-21,Chronic,17,48,379,144,151,4131,231,371,1486,1620,423,2704,1348,79,44.9
1311,Nov-21,Refugees,17,20,214,65,53,1349,362,187,556,222,22,715,624,10,14.7
1312,Nov-21,Families,14,25,237,136,91,1754,846,205,505,179,19,727,1026,1,19.1
1313,Nov-21,Youth,19,40,80,29,96,855,0,855,0,0,0,492,310,53,9.3
1314,Nov-21,Single Adult,44,390,466,85,626,6590,0,0,3248,2742,597,4596,1899,95,71.6
1315,Nov-21,Non-refugees,60,435,569,185,760,7850,487,873,3197,2699,594,5100,2611,139,85.3
1316,Nov-21,Indigenous,7,99,45,14,134,1070,6,122,573,337,32,644,381,45,11.6
